Date,AHT,ALT,ARH,WS,RAINFALL
3-2-1987,32,24.9,,,0.4
4-2-1987,32.8,24.1,,,1.7
5-2-1987,31.2,23.6,,,13
6-2-1987,28.6,21.9,,,5.2
7-2-1987,27.7,22,,,16.8
8-2-1987,27.9,19.5,,,44
9-2-1987,28.6,23.6,,,5.4
10-2-1987,28.9,23.3,,,3.8
11-2-1987,27.3,22,,,16.5
12-2-1987,30,23.3,,,0.7
13-2-1987,30.5,23,,,23
14-2-1987,31.1,23.6,,,10.2
15-2-1987,30.2,24.6,,,15.6
16-2-1987,27.4,23,,,3
17-2-1987,31.2,22.6,,,50.2
18-2-1987,33,24.3,,,0
19-2-1987,33,24.4,,,0
20-2-1987,27.7,24.4,,,7.2
21-2-1987,29.2,24.3,,,7.7
22-2-1987,29.8,23.6,,,2.5
23-2-1987,31,23.2,,,5
24-2-1987,30.1,24.6,,,7.7
25-2-1987,32.5,24,,,4.7
26-2-1987,29.7,24.3,,,9.5
27-2-1987,32.2,24,,,5.4
28-2-1987,33,24.3,,,9.2
1-2-1988,30.2,20,,0.33,3.4
2-2-1988,28.4,20.4,,0.33,3.2
3-2-1988,31,22,,0.33,45.4
4-2-1988,30.7,23,,0.83,0
5-2-1988,32,23,,1.0,14
6-2-1988,29,23.3,,1.0,0.8
7-2-1988,28.8,22,,0.33,16.5
8-2-1988,32,23.3,,0.0,24.8
9-2-1988,29.3,23.3,,0.0,29
10-2-1988,30.8,23.6,,0.0,6
11-2-1988,32,23.3,,1.0,49.6
12-2-1988,30,19.5,,0.0,5.4
13-2-1988,33.3,24.3,,0.77,26.1
14-2-1988,32.8,23.9,,0.0,46.6
15-2-1988,31.6,23.5,,1.0,3.8
16-2-1988,30,23.5,,0.67,0.2
17-2-1988,30.8,25.2,,2.17,1.4
18-2-1988,32,24.3,,2.33,0
19-2-1988,32.5,24.8,,2.17,2.4
20-2-1988,32.6,24.3,,1.83,4.8
21-2-1988,32.6,24.6,,1.5,3.8
22-2-1988,33.8,25.3,,0.77,0.2
23-2-1988,33,25.3,,0.77,0
24-2-1988,31,24.6,,0.0,23
25-2-1988,31.5,24.5,,0.0,46.4
26-2-1988,29.4,21.3,,0.0,0.8
27-2-1988,26.3,22.5,,0.0,29.8
28-2-1988,29.3,24.3,,0.0,145.6
1-2-1989,20.3,22.6,,0.0,0
