,Ano,Mês,Valor,Variável
528,1957.0,1.0,0.0147712325,nino3
529,1957.0,2.0,0.0150294141,nino3
530,1957.0,3.0,0.0153193917,nino3
531,1957.0,4.0,0.0153952498,nino3
532,1957.0,5.0,0.015555792,nino3
533,1957.0,6.0,0.0156600834,nino3
534,1957.0,7.0,0.0159333396,nino3
535,1957.0,8.0,0.0158281993,nino3
536,1957.0,9.0,0.0156276635,nino3
537,1957.0,10.0,0.0156056222,nino3
538,1957.0,11.0,0.0158481292,nino3
539,1957.0,12.0,0.0159739603,nino3
540,1957.0,1.0,0.0149044833,nino34
541,1957.0,2.0,0.0150524823,nino34
542,1957.0,3.0,0.0152862763,nino34
543,1957.0,4.0,0.0154182488,nino34
544,1957.0,5.0,0.0154955918,nino34
545,1957.0,6.0,0.0155290758,nino34
546,1957.0,7.0,0.0156851816,nino34
547,1957.0,8.0,0.0156719246,nino34
548,1957.0,9.0,0.0155686855,nino34
549,1957.0,10.0,0.0155580801,nino34
550,1957.0,11.0,0.0157637819,nino34
551,1957.0,12.0,0.0158724735,nino34
552,1957.0,1.0,0.0150650524,nino4
553,1957.0,2.0,0.015109638,nino4
554,1957.0,3.0,0.0151188486,nino4
555,1957.0,4.0,0.015254129,nino4
556,1957.0,5.0,0.0153076818,nino4
557,1957.0,6.0,0.0151199852,nino4
558,1957.0,7.0,0.0150682034,nino4
559,1957.0,8.0,0.0152575306,nino4
560,1957.0,9.0,0.0153201199,nino4
561,1957.0,10.0,0.0154077893,nino4
562,1957.0,11.0,0.0154096864,nino4
563,1957.0,12.0,0.01544842,nino4
564,1957.0,1.0,-0.0187246964,tsa
565,1957.0,2.0,-0.0053242982,tsa
566,1957.0,3.0,-0.0031746032,tsa
567,1957.0,4.0,-0.0013947001,tsa
568,1957.0,5.0,-0.0112945265,tsa
569,1957.0,6.0,-0.0047311828,tsa
570,1957.0,7.0,-0.0156014092,tsa
571,1957.0,8.0,-0.012462908,tsa
572,1957.0,9.0,-0.0224502886,tsa
573,1957.0,10.0,-0.0220289855,tsa
574,1957.0,11.0,-0.0146314012,tsa
575,1957.0,12.0,-0.0077745384,tsa
576,1958.0,1.0,0.019602309,rainfall
577,1958.0,2.0,0.009725573,rainfall
578,1958.0,3.0,0.011067555,rainfall
579,1958.0,4.0,0.0165114995,rainfall
580,1958.0,5.0,0.0052782928,rainfall
581,1958.0,6.0,0.0093799131,rainfall
582,1958.0,7.0,0.0090571003,rainfall
583,1958.0,8.0,0.0169952791,rainfall
584,1958.0,9.0,0.0072346238,rainfall
585,1958.0,10.0,0.0118605087,rainfall
586,1958.0,11.0,0.0126396963,rainfall
587,1958.0,12.0,0.0188996135,rainfall
588,1958.0,1.0,0.0152818641,nino12
589,1958.0,2.0,0.0154992915,nino12
590,1958.0,3.0,0.0155995706,nino12
591,1958.0,4.0,0.0157397254,nino12
592,1958.0,5.0,0.0155222277,nino12
593,1958.0,6.0,0.0155349801,nino12
594,1958.0,7.0,0.0154209917,nino12
595,1958.0,8.0,0.0149643103,nino12
596,1958.0,9.0,0.0152430066,nino12
597,1958.0,10.0,0.0152992383,nino12
598,1958.0,11.0,0.0151192758,nino12
599,1958.0,12.0,0.0150148151,nino12
600,1958.0,1.0,0.015944399,nino3
601,1958.0,2.0,0.015748938,nino3
602,1958.0,3.0,0.0154815904,nino3
603,1958.0,4.0,0.0153620704,nino3
604,1958.0,5.0,0.0153150076,nino3
605,1958.0,6.0,0.0152992256,nino3
606,1958.0,7.0,0.015195685,nino3
607,1958.0,8.0,0.0151691949,nino3
608,1958.0,9.0,0.0150432242,nino3
609,1958.0,10.0,0.0150767211,nino3
610,1958.0,11.0,0.0152306696,nino3
611,1958.0,12.0,0.0150293608,nino3
612,1958.0,1.0,0.0161270052,nino34
613,1958.0,2.0,0.0160283688,nino34
614,1958.0,3.0,0.0157209572,nino34
615,1958.0,4.0,0.0154894773,nino34
616,1958.0,5.0,0.0154465206,nino34
617,1958.0,6.0,0.0154631816,nino34
618,1958.0,7.0,0.0152559851,nino34
619,1958.0,8.0,0.015185535,nino34
620,1958.0,9.0,0.0151202983,nino34
