,Arquitetura,FA,Alpha,TA,FV,MSE,NMSE
625,"(6, 1)",logistic,0.0001,0.001,0.0462,0.46851,0.0011311308548986614
626,"(6, 3)",logistic,0.0001,0.003,0.1,0.46859,0.001131324000121585
627,"(6,)",tanh,0.01,0.003,0.1,0.46884,0.0011319275789432209
628,"(3, 2)",logistic,0.0001,0.003,0.0462,0.46916,0.001132700159834915
629,"(2, 6)",tanh,0.0001,0.001,0.1,0.46946,0.0011334244544208782
630,"(4, 4)",tanh,0.0001,0.001,0.0462,0.4695,0.0011335210270323399
631,"(3, 4)",logistic,0.01,0.003,0.1,0.46976,0.0011341487490068413
632,"(1, 7)",tanh,0.0001,0.001,0.0462,0.46999,0.0011347040415227464
633,"(5, 1)",tanh,0.01,0.003,0.1,0.46999,0.0011347040415227464
634,"(6, 3)",tanh,0.01,0.001,0.1,0.47051,0.0011359594854717491
635,"(5, 4)",tanh,0.01,0.001,0.0462,0.47102,0.0011371907862678865
636,"(1, 4)",tanh,0.01,0.001,0.0462,0.47117,0.0011375529335608682
637,"(1,)",logistic,0.01,0.001,0.1,0.47124,0.0011377219356309262
638,"(6, 2)",tanh,0.01,0.001,0.0462,0.47162,0.0011386393754398128
639,"(6, 7)",logistic,0.01,0.003,0.0462,0.47272,0.001141295122255011
640,"(6, 6)",tanh,0.0001,0.003,0.1,0.47284,0.0011415848400893962
641,"(6, 4)",tanh,0.01,0.001,0.1,0.47289,0.0011417055558537235
642,"(2, 6)",tanh,0.01,0.001,0.1,0.47398,0.0011443371595160564
643,"(7, 7)",tanh,0.0001,0.001,0.0462,0.47432,0.0011451580267134813
644,"(5, 4)",logistic,0.0001,0.001,0.1,0.4747,0.001146075466522368
645,"(6,)",logistic,0.01,0.003,0.0462,0.47537,0.0011476930577643523
646,"(5, 6)",logistic,0.0001,0.003,0.0462,0.47648,0.001150372947732416
647,"(4, 1)",tanh,0.01,0.003,0.1,0.47664,0.001150759238178263
648,"(1, 4)",logistic,0.0001,0.001,0.1,0.47679,0.0011511213854712445
649,"(7, 7)",logistic,0.01,0.003,0.0462,0.477,0.0011516283916814187
650,"(3, 3)",tanh,0.01,0.001,0.1,0.47773,0.0011533908418405957
651,"(7, 3)",tanh,0.0001,0.003,0.1,0.47829,0.0011547428584010604
