,Arquitetura,FA,Alpha,TA,FV,MSE,MAE
212,8,tanh,0.0001,0.001,0.1,82429.30142,281.25717
213,"(4, 8)",tanh,0.01,0.003,0.1,82473.62928,284.59932
214,10,tanh,0.01,0.003,0.2,82507.95395,281.87722
215,7,tanh,0.0001,0.001,0.2,82530.22482,282.03485
216,6,tanh,0.01,0.003,0.2,82532.45883,281.53301
217,"(7, 5)",tanh,0.01,0.003,0.2,82573.30613,283.92002
218,4,tanh,0.01,0.001,0.2,82620.14023,281.53352
219,9,tanh,0.01,0.001,0.1,82638.49494,281.57365
220,10,tanh,0.01,0.001,0.2,82640.96933,281.76233
221,4,tanh,0.0001,0.003,0.2,82651.74702,282.28608
222,7,tanh,0.0001,0.001,0.1,82710.79879,281.5347
223,4,tanh,0.01,0.003,0.2,82711.75847,282.27332
224,6,tanh,0.0001,0.001,0.2,82738.2709,281.62292
225,"(7, 5)",tanh,0.01,0.003,0.1,82742.45263,283.96572
226,10,tanh,0.01,0.001,0.1,82767.26629,281.20502
227,6,tanh,0.01,0.001,0.1,82778.95479,281.90757
228,"(8, 4)",tanh,0.01,0.003,0.2,82800.86253,284.78589
229,4,tanh,0.0001,0.003,0.1,82816.42783,281.35959
230,3,tanh,0.0001,0.003,0.2,82848.56647,283.20486
231,10,tanh,0.0001,0.001,0.1,82951.06557,281.8831
232,6,tanh,0.0001,0.003,0.2,82977.43538,282.4513
233,3,tanh,0.0001,0.003,0.1,83014.88551,282.68653
234,9,tanh,0.0001,0.001,0.2,83052.11517,283.22719
235,"(6, 6)",tanh,0.0001,0.001,0.1,83083.61883,284.95353
236,7,tanh,0.0001,0.003,0.2,83177.05402,283.53944
237,6,tanh,0.01,0.003,0.1,83240.37412,281.99384
238,"(7, 5)",tanh,0.0001,0.001,0.1,83245.62169,284.45183
239,12,tanh,0.0001,0.003,0.2,83261.57819,283.20251
240,12,tanh,0.0001,0.001,0.2,83261.67152,283.49249
241,9,tanh,0.0001,0.001,0.1,83313.69572,283.50445
242,3,tanh,0.01,0.003,0.1,83349.81351,282.93564
243,12,tanh,0.0001,0.003,0.1,83398.72194,283.25034
244,4,tanh,0.0001,0.001,0.1,83515.12986,282.93483
245,"(6, 6)",tanh,0.0001,0.003,0.1,83524.81001,285.43038
246,"(9, 3)",tanh,0.0001,0.001,0.1,83531.7176,284.82055
247,4,tanh,0.0001,0.001,0.2,83550.89259,284.0133
248,11,tanh,0.0001,0.003,0.1,83568.77446,283.18511
249,12,tanh,0.0001,0.001,0.1,83578.37089,282.75952
250,"(9, 3)",tanh,0.0001,0.003,0.1,83651.29408,284.77405
251,11,tanh,0.01,0.003,0.1,83672.10524,283.40906
252,3,tanh,0.01,0.001,0.1,83873.76129,283.82151
253,11,tanh,0.01,0.001,0.2,83878.60679,284.04285
254,9,tanh,0.01,0.001,0.2,83923.96762,284.65918
255,10,tanh,0.01,0.003,0.1,83957.64154,283.05994
256,6,tanh,0.0001,0.003,0.1,83963.16438,284.09816
257,10,tanh,0.0001,0.003,0.1,84064.33928,284.16678
258,3,tanh,0.0001,0.001,0.2,84066.86692,285.26449
259,6,tanh,0.0001,0.001,0.1,84139.76396,283.38412
260,"(8, 4)",tanh,0.0001,0.001,0.1,84147.73665,286.03147
261,7,tanh,0.0001,0.003,0.1,84160.31682,284.08709
262,5,tanh,0.0001,0.001,0.2,84602.69801,285.24036
263,12,tanh,0.01,0.001,0.2,84759.90652,286.24786
264,3,tanh,0.0001,0.001,0.1,84785.01227,285.45364
265,11,tanh,0.0001,0.001,0.1,84821.6292,285.24124
266,8,tanh,0.0001,0.003,0.1,84898.56913,284.80457
267,9,tanh,0.0001,0.003,0.1,85000.04535,285.16049
268,11,tanh,0.01,0.003,0.2,85032.87076,286.0442
269,7,tanh,0.01,0.003,0.2,85146.308,286.1496
270,4,tanh,0.01,0.001,0.1,85232.5473,286.4769
271,7,tanh,0.01,0.001,0.1,85362.07748,285.97586
272,8,tanh,0.01,0.001,0.2,85892.5414,288.10851
