,Arquitetura,FA,Alpha,TA,FV,MAPE Teste,Acurácia
478,"(3, 1)",logistic,0.0001,0.003,0.0462,37.173,62.827
479,"(7, 1)",tanh,0.01,0.001,0.0462,37.173,62.827
480,"(7, 5)",logistic,0.01,0.001,0.0462,37.182,62.818
481,"(1, 7)",logistic,0.0001,0.001,0.0462,37.188,62.812
482,"(2, 5)",logistic,0.01,0.003,0.0462,37.188,62.812
483,"(7, 1)",tanh,0.01,0.001,0.1,37.194,62.806
484,"(7, 2)",tanh,0.01,0.001,0.1,37.197,62.803
485,"(6, 4)",logistic,0.01,0.001,0.0462,37.225,62.775
486,"(1, 4)",logistic,0.0001,0.001,0.1,37.225,62.775
487,"(3, 4)",tanh,0.01,0.003,0.1,37.226,62.774
488,"(2, 1)",tanh,0.0001,0.003,0.0462,37.242,62.758
489,"(2, 3)",tanh,0.01,0.001,0.1,37.267,62.733
490,"(1, 2)",logistic,0.0001,0.003,0.0462,37.272,62.728
491,"(2, 7)",tanh,0.01,0.001,0.1,37.274,62.726
492,"(2, 4)",tanh,0.01,0.001,0.1,37.289,62.711
493,"(6, 7)",tanh,0.0001,0.003,0.1,37.294,62.706
494,"(4,)",logistic,0.01,0.003,0.1,37.314,62.686
495,"(1, 3)",tanh,0.01,0.003,0.0462,37.318,62.682
496,"(1,)",tanh,0.01,0.001,0.1,37.322,62.678
497,"(6, 5)",tanh,0.01,0.003,0.0462,37.323,62.677
498,"(1, 1)",logistic,0.01,0.001,0.0462,37.34,62.66
499,"(4, 5)",tanh,0.01,0.003,0.1,37.34,62.66
500,"(4,)",tanh,0.01,0.003,0.1,37.344,62.656
501,"(7, 6)",tanh,0.01,0.001,0.1,37.355,62.645
502,"(6, 2)",logistic,0.0001,0.001,0.0462,37.355,62.645
503,"(3, 1)",tanh,0.0001,0.001,0.0462,37.363,62.637
504,"(6, 3)",logistic,0.0001,0.001,0.1,37.365,62.635
505,"(4, 5)",logistic,0.0001,0.003,0.0462,37.374,62.626
506,"(3, 4)",logistic,0.0001,0.001,0.1,37.38,62.62
507,"(2,)",tanh,0.01,0.003,0.0462,37.388,62.612
508,"(5, 3)",tanh,0.01,0.003,0.1,37.395,62.605
509,"(2, 2)",tanh,0.01,0.003,0.1,37.406,62.594
510,"(2, 7)",logistic,0.01,0.003,0.1,37.413,62.587
511,"(1, 5)",logistic,0.01,0.003,0.0462,37.424,62.576
512,"(3, 6)",logistic,0.01,0.001,0.1,37.434,62.566
513,"(6,)",logistic,0.0001,0.001,0.1,37.438,62.562
514,"(3, 4)",tanh,0.0001,0.001,0.0462,37.438,62.562
515,"(6, 4)",logistic,0.01,0.001,0.1,37.442,62.558
516,"(2, 6)",tanh,0.0001,0.003,0.1,37.445,62.555
517,"(2, 5)",tanh,0.0001,0.001,0.1,37.468,62.532
518,"(1, 2)",tanh,0.0001,0.001,0.1,37.469,62.531
519,"(7, 7)",tanh,0.01,0.003,0.1,37.474,62.526
520,"(1, 2)",tanh,0.01,0.003,0.0462,37.484,62.516
521,"(3, 2)",logistic,0.0001,0.003,0.0462,37.489,62.511
522,"(1,)",tanh,0.0001,0.001,0.1,37.489,62.511
523,"(5, 6)",tanh,0.01,0.003,0.0462,37.489,62.511
524,"(3,)",logistic,0.01,0.001,0.0462,37.509,62.491
525,"(1,)",tanh,0.01,0.003,0.0462,37.519,62.481
526,"(4, 3)",logistic,0.0001,0.003,0.0462,37.531,62.469
527,"(2, 3)",logistic,0.01,0.003,0.0462,37.54,62.46
528,"(5, 1)",tanh,0.01,0.003,0.1,37.55,62.45
